Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
43,Yes,Travel_Rarely,Sales,1,3,Other,1,317,4,Female,91,2,4,Sales Executive,1,Married,6080,26499,2,Y,No,24,3,1,80,2,24,3,3,0,0,0,0
34,Yes,Travel_Rarely,Research & Development,1,4,Marketing,1,318,3,Male,51,4,5,Healthcare Representative,4,Married,7286,26433,7,Y,No,14,3,3,80,3,22,5,2,3,0,3,2
39,Yes,Travel_Frequently,Sales,3,3,Marketing,1,319,2,Female,97,1,2,Sales Executive,4,Married,5167,6029,1,Y,Yes,11,3,4,80,0,9,0,3,0,0,0,0
35,No,Travel_Rarely,Research & Development,10,2,Life Sciences,1,320,1,Male,44,4,5,Research Scientist,3,Married,7148,5063,4,Y,Yes,14,3,3,80,3,39,1,3,4,3,2,4
37,Yes,Travel_Frequently,Research & Development,6,4,Life Sciences,1,321,1,Female,55,1,4,Laboratory Technician,3,Single,6932,15313,9,Y,No,16,3,1,80,0,23,0,2,6,6,0,4
42,No,Non-Travel,Research & Development,4,3,Technical Degree,1,322,1,Male,92,3,4,Manufacturing Director,1,Married,7136,10352,4,Y,No,18,4,3,80,1,20,4,3,4,2,1,1
29,No,Travel_Rarely,Sales,6,4,Other,1,323,2,Female,47,3,4,Sales Executive,3,Single,5034,12379,0,Y,Yes,23,3,3,80,2,21,4,1,3,1,1,3
55,Yes,Travel_Rarely,Research & Development,3,3,Other,1,324,3,Male,92,1,1,Healthcare Representative,1,Married,8978,12543,6,Y,Yes,22,3,4,80,3,27,2,2,2,1,0,2
27,No,Travel_Rarely,Sales,22,4,Technical Degree,1,325,1,Male,91,3,2,Sales Executive,3,Divorced,3438,5892,3,Y,No,23,3,4,80,1,5,0,2,0,0,0,0
26,No,Travel_Rarely,Research & Development,1,1,Other,1,326,1,Male,97,4,5,Healthcare Representative,4,Divorced,6221,20121,9,Y,No,23,3,4,80,3,17,0,3,6,5,4,2
47,No,Travel_Rarely,Research & Development,8,3,Other,1,327,1,Male,77,1,3,Laboratory Technician,1,Married,8030,22604,1,Y,Yes,24,3,3,80,1,34,2,3,3,0,1,2
44,No,Travel_Frequently,Research & Development,17,3,Marketing,1,328,3,Male,79,4,5,Research Scientist,4,Divorced,5124,25464,7,Y,Yes,23,4,2,80,3,9,2,3,0,0,0,0
42,Yes,Travel_Rarely,Human Resources,13,4,Other,1,329,3,Male,92,1,4,Human Resources,1,Divorced,4655,11562,3,Y,No,14,3,3,80,1,34,3,1,3,2,1,1
42,No,Travel_Rarely,Sales,1,4,Life Sciences,1,330,3,Male,98,4,3,Sales Executive,2,Divorced,9699,5395,0,Y,No,20,3,4,80,1,10,3,3,8,1,3,2
36,No,Travel_Rarely,Sales,2,3,Marketing,1,331,2,Male,35,3,3,Sales Executive,1,Divorced,7865,18359,7,Y,No,11,3,4,80,3,2,4,3,10,2,5,4
28,Yes,Non-Travel,Research & Development,10,4,Life Sciences,1,332,2,Male,87,2,5,Healthcare Representative,2,Single,5117,4454,6,Y,No,15,4,1,80,1,25,6,2,10,4,9,6
37,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,333,1,Female,80,4,5,Manufacturing Director,1,Single,7366,17828,2,Y,No,17,3,3,80,2,3,6,3,10,9,1,1
30,No,Non-Travel,Sales,13,4,Technical Degree,1,334,2,Male,41,1,5,Sales Executive,2,Single,5891,6957,2,Y,No,16,3,2,80,2,34,6,2,3,0,2,2
45,No,Non-Travel,Research & Development,10,4,Other,1,335,4,Female,76,3,5,Research Scientist,3,Single,7072,20671,6,Y,No,13,3,2,80,2,7,6,2,3,3,3,3
35,No,Travel_Rarely,Sales,10,1,Other,1,336,4,Female,38,1,2,Sales Executive,2,Married,8658,26534,1,Y,Yes,23,3,3,80,2,28,1,3,15,11,1,15
29,Yes,Travel_Rarely,Sales,1,4,Other,1,337,3,Female,36,4,1,Sales Representative,3,Divorced,6037,8292,4,Y,No,17,3,3,80,0,9,4,3,5,1,2,1
34,No,Travel_Rarely,Sales,10,3,Other,1,338,4,Male,58,1,1,Sales Executive,4,Divorced,5658,10696,6,Y,No,14,4,1,80,3,11,5,2,2,0,1,1
40,Yes,Travel_Rarely,Sales,9,1,Marketing,1,339,3,Female,80,1,5,Sales Executive,3,Married,7554,13959,5,Y,No,15,3,4,80,2,29,0,2,5,5,5,2
31,No,Travel_Rarely,Research & Development,14,2,Medical,1,340,1,Male,84,4,1,Laboratory Technician,1,Married,5576,14812,9,Y,No,21,3,4,80,2,16,6,2,2,0,0,0
29,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,341,4,Male,88,3,5,Research Scientist,2,Single,3904,11595,6,Y,No,17,4,4,80,2,39,1,2,2,0,0,1
39,Yes,Travel_Rarely,Human Resources,1,4,Medical,1,342,1,Male,85,3,5,Human Resources,4,Single,5238,11959,1,Y,No,12,4,1,80,0,29,3,2,1,1,1,1
39,Yes,Travel_Rarely,Research & Development,3,4,Medical,1,343,3,Female,51,4,5,Research Scientist,3,Divorced,7043,22117,6,Y,Yes,14,3,3,80,3,13,2,3,9,4,7,6
32,No,Travel_Rarely,Sales,1,5,Medical,1,344,2,Male,47,3,2,Sales Executive,3,Married,4988,17383,1,Y,No,14,3,3,80,1,35,2,3,4,4,4,2
32,No,Travel_Rarely,Sales,6,4,Marketing,1,345,3,Male,87,2,4,Sales Executive,1,Divorced,7420,10892,6,Y,No,16,3,2,80,0,11,6,3,12,3,6,12
39,Yes,Travel_Rarely,Research & Development,19,1,Medical,1,346,3,Female,69,1,1,Research Director,3,Married,6039,23497,7,Y,No,22,4,3,80,2,35,4,3,2,2,0,1
23,No,Travel_Frequently,Human Resources,3,2,Marketing,1,347,3,Female,60,4,1,Human Resources,2,Single,5815,21389,9,Y,No,21,3,4,80,2,8,6,3,5,2,4,0
24,No,Travel_Rarely,Research & Development,14,1,Technical Degree,1,348,2,Male,85,2,2,Research Scientist,4,Divorced,5110,23174,7,Y,No,17,3,1,80,0,7,0,2,6,6,0,4
30,No,Travel_Rarely,Research & Development,1,1,Technical Degree,1,349,2,Male,64,1,2,Research Scientist,4,Divorced,6389,14313,4,Y,No,14,3,4,80,3,5,0,1,9,0,2,7
35,Yes,Travel_Frequently,Research & Development,1,2,Technical Degree,1,350,2,Female,55,4,5,Research Scientist,1,Married,7550,2010,6,Y,Yes,20,3,4,80,3,6,2,3,0,0,0,0
39,No,Non-Travel,Research & Development,1,3,Marketing,1,351,4,Male,97,3,5,Manufacturing Director,3,Divorced,9844,15095,7,Y,Yes,11,3,4,80,1,35,4,2,21,6,2,8
50,No,Travel_Rarely,Research & Development,3,4,Marketing,1,352,4,Male,63,4,4,Laboratory Technician,2,Single,8446,7221,3,Y,No,11,3,4,80,0,30,5,2,6,2,1,6
44,No,Travel_Rarely,Research & Development,19,4,Life Sciences,1,353,3,Male,45,4,1,Laboratory Technician,3,Divorced,8589,17471,1,Y,No,15,3,2,80,3,11,4,1,2,0,1,0
35,No,Travel_Rarely,Sales,1,3,Medical,1,354,2,Female,71,1,2,Sales Executive,4,Married,7469,5677,6,Y,No,11,3,4,80,0,38,3,3,3,2,2,2
36,No,Travel_Rarely,Sales,7,4,Other,1,355,4,Female,34,1,4,Sales Executive,3,Divorced,7334,13011,0,Y,No,13,3,2,80,3,27,6,3,10,5,3,4
27,Yes,Travel_Frequently,Research & Development,4,3,Other,1,356,1,Female,90,1,1,Laboratory Technician,2,Single,3178,17105,1,Y,No,19,3,4,80,3,21,3,4,4,2,2,3
36,No,Travel_Rarely,Research & Development,22,4,Medical,1,357,2,Female,73,2,4,Healthcare Representative,2,Married,6208,9334,9,Y,No,13,3,1,80,2,14,3,3,6,4,6,1
34,Yes,Travel_Frequently,Sales,1,3,Other,1,358,2,Male,64,3,4,Sales Representative,4,Married,7728,13984,6,Y,Yes,13,3,2,80,3,35,6,3,6,6,3,6
39,No,Travel_Rarely,Research & Development,1,2,Other,1,359,4,Male,30,4,5,Research Scientist,3,Single,5477,7164,9,Y,No,23,3,3,80,3,29,5,3,0,0,0,0
29,No,Travel_Rarely,Research & Development,1,4,Other,1,360,1,Male,72,4,4,Laboratory Technician,3,Married,6538,11033,0,Y,No,19,4,2,80,0,24,1,3,7,3,4,7
41,Yes,Travel_Rarely,Research & Development,4,3,Marketing,1,361,1,Male,61,3,5,Healthcare Representative,2,Married,5886,25244,6,Y,No,15,3,3,80,3,36,4,2,0,0,0,0
50,No,Travel_Rarely,Research & Development,2,3,Marketing,1,362,3,Male,92,4,1,Laboratory Technician,2,Divorced,8849,26489,4,Y,Yes,22,3,3,80,3,32,4,2,12,4,6,4
36,No,Travel_Rarely,Research & Development,16,3,Marketing,1,363,2,Female,62,1,1,Healthcare Representative,4,Married,6170,16889,2,Y,Yes,18,3,4,80,0,6,5,2,4,2,3,4
40,No,Travel_Rarely,Human Resources,7,3,Medical,1,364,3,Female,95,4,5,Human Resources,3,Divorced,7575,2284,1,Y,No,20,3,3,80,3,10,6,2,4,2,0,4
43,Yes,Travel_Rarely,Research & Development,7,5,Technical Degree,1,365,3,Female,59,3,3,Research Scientist,3,Single,5625,8543,6,Y,No,25,3,2,80,0,20,3,2,0,0,0,0
33,No,Travel_Frequently,Research & Development,6,1,Other,1,366,3,Male,39,2,4,Healthcare Representative,3,Single,8746,7570,8,Y,No,19,3,2,80,0,20,2,3,13,8,5,3
39,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,367,1,Female,52,2,1,Manufacturing Director,4,Single,9181,24115,8,Y,Yes,22,3,3,80,0,26,3,4,14,4,4,10
37,Yes,Travel_Frequently,Research & Development,4,1,Marketing,1,368,1,Female,68,3,4,Healthcare Representative,2,Single,7540,25995,9,Y,No,16,3,3,80,0,21,1,3,6,0,6,3
37,No,Travel_Rarely,Sales,29,3,Life Sciences,1,369,4,Male,74,4,3,Sales Executive,1,Married,7873,20819,9,Y,No,17,4,4,80,2,23,5,4,9,8,0,6
30,No,Travel_Frequently,Sales,14,2,Other,1,370,4,Female,58,4,4,Sales Executive,3,Married,3301,9523,7,Y,No,17,3,1,80,2,12,6,3,0,0,0,0
37,No,Non-Travel,Sales,17,4,Technical Degree,1,371,2,Male,59,2,3,Sales Representative,3,Divorced,6005,13023,1,Y,No,17,3,2,80,2,13,2,3,4,1,4,1
41,No,Travel_Rarely,Research & Development,13,1,Life Sciences,1,372,1,Male,63,4,2,Research Scientist,4,Divorced,6075,14712,0,Y,Yes,14,3,2,80,2,10,4,3,2,1,0,1
50,No,Travel_Frequently,Sales,1,3,Other,1,373,1,Male,81,2,3,Sales Executive,4,Divorced,7381,3029,7,Y,No,23,3,2,80,0,7,1,2,3,0,2,0
45,No,Travel_Rarely,Sales,2,2,Other,1,374,3,Male,51,3,1,Sales Executive,2,Married,7743,24968,1,Y,No,23,3,2,80,0,37,1,2,4,2,1,3
56,No,Travel_Frequently,Sales,1,2,Marketing,1,375,4,Male,34,3,5,Sales Representative,1,Divorced,10350,26475,3,Y,No,25,3,4,80,0,12,5,4,1,0,1,0
30,No,Travel_Rarely,Research & Development,2,4,Technical Degree,1,376,2,Female,40,4,5,Healthcare Representative,4,Married,6323,22835,3,Y,No,25,3,2,80,0,25,2,4,4,2,1,2
44,No,Travel_Rarely,Research & Development,1,2,Other,1,377,3,Female,61,1,4,Research Scientist,3,Single,9567,21350,1,Y,No,12,3,3,80,2,2,3,1,8,6,0,7
38,No,Travel_Rarely,Research & Development,5,2,Technical Degree,1,378,4,Female,53,1,2,Manufacturing Director,3,Married,5526,9755,3,Y,Yes,12,3,3,80,3,26,3,2,3,0,0,2
56,No,Travel_Rarely,Sales,9,2,Marketing,1,379,4,Female,40,2,4,Sales Executive,3,Single,10136,2553,6,Y,No,17,3,2,80,2,5,0,3,3,2,0,2
29,No,Travel_Rarely,Research & Development,16,3,Life Sciences,1,380,1,Male,40,3,3,Research Scientist,3,Divorced,6190,18651,5,Y,No,20,3,4,80,0,8,2,2,2,1,1,0
29,No,Non-Travel,Research & Development,11,3,Medical,1,381,2,Female,46,2,5,Laboratory Technician,2,Married,3396,16203,9,Y,No,17,3,3,80,0,9,3,3,0,0,0,0
31,Yes,Travel_Frequently,Sales,22,1,Medical,1,382,1,Male,61,3,3,Sales Executive,4,Divorced,5332,25519,5,Y,Yes,20,3,3,80,3,39,1,2,2,2,2,1
18,No,Travel_Rarely,Sales,1,2,Medical,1,383,4,Male,56,2,5,Sales Executive,4,Divorced,3159,3240,3,Y,No,17,3,4,80,0,20,5,3,1,0,1,1
32,No,Travel_Frequently,Sales,1,3,Technical Degree,1,384,4,Male,61,2,5,Sales Representative,3,Single,4323,6159,1,Y,Yes,23,3,2,80,3,11,3,2,0,0,0,0
30,Yes,Travel_Frequently,Research & Development,8,3,Medical,1,385,3,Male,90,2,5,Laboratory Technician,3,Divorced,4663,20873,4,Y,Yes,18,3,4,80,0,22,5,3,1,1,0,1
38,No,Travel_Rarely,Sales,2,4,Life Sciences,1,386,1,Male,54,4,1,Sales Executive,1,Married,6208,26242,2,Y,No,13,4,3,80,3,16,3,2,1,1,0,1
40,No,Travel_Rarely,Research & Development,2,4,Other,1,387,2,Male,93,1,3,Research Director,1,Divorced,5586,12780,2,Y,No,23,4,3,80,1,38,5,3,0,0,0,0
53,No,Travel_Rarely,Research & Development,3,3,Technical Degree,1,388,2,Male,93,3,4,Laboratory Technician,2,Single,10470,23778,3,Y,No,21,3,4,80,1,10,1,4,7,5,3,1
45,No,Travel_Frequently,Research & Development,2,3,Life Sciences,1,389,3,Female,57,2,2,Healthcare Representative,2,Single,9029,10661,4,Y,No,15,3,4,80,1,25,2,3,15,9,10,6
31,No,Travel_Frequently,Research & Development,5,4,Technical Degree,1,390,2,Male,69,1,4,Laboratory Technician,4,Divorced,5071,5287,1,Y,No,16,3,3,80,1,19,0,3,4,2,1,3
28,No,Travel_Rarely,Research & Development,4,4,Technical Degree,1,391,1,Male,43,2,3,Healthcare Representative,4,Single,7159,20403,5,Y,No,23,3,4,80,0,4,5,3,10,1,8,7
41,No,Travel_Rarely,Sales,5,3,Technical Degree,1,392,4,Male,71,2,2,Sales Executive,3,Divorced,11216,12215,5,Y,No,18,4,3,80,0,19,3,4,14,12,7,0
25,Yes,Travel_Frequently,Research & Development,8,4,Marketing,1,393,2,Female,68,3,4,Healthcare Representative,3,Single,4588,11781,7,Y,Yes,18,3,3,80,0,3,5,3,0,0,0,0
53,No,Non-Travel,Sales,3,4,Other,1,394,3,Male,31,4,2,Sales Executive,1,Divorced,8593,17951,1,Y,No,20,3,1,80,1,17,5,3,3,1,3,0
47,Yes,Travel_Frequently,Research & Development,2,3,Medical,1,395,1,Male,30,2,3,Research Scientist,4,Divorced,7431,7313,7,Y,No,13,3,1,80,3,14,3,3,3,1,2,0
32,No,Travel_Rarely,Research & Development,1,3,Marketing,1,396,4,Male,61,3,5,Manufacturing Director,2,Married,4773,17047,7,Y,No,22,3,4,80,3,10,6,2,2,2,0,2
21,Yes,Travel_Rarely,Research & Development,3,4,Other,1,397,3,Male,93,4,3,Laboratory Technician,1,Married,3379,12252,3,Y,No,24,4,1,80,1,6,3,3,3,0,0,3
49,Yes,Travel_Rarely,Research & Development,10,2,Medical,1,398,4,Male,60,4,1,Laboratory Technician,3,Divorced,6870,6317,6,Y,Yes,14,4,1,80,0,31,2,4,6,4,6,3
35,No,Travel_Rarely,Research & Development,11,4,Marketing,1,399,3,Male,87,1,2,Laboratory Technician,4,Married,7015,24208,6,Y,No,16,3,4,80,1,31,1,3,1,0,1,1
48,No,Travel_Frequently,Research & Development,8,4,Marketing,1,400,4,Male,43,1,3,Manufacturing Director,4,Married,9902,11611,0,Y,Yes,14,3,1,80,2,9,1,4,12,5,3,11
22,No,Travel_Rarely,Research & Development,2,4,Life Sciences,1,401,4,Male,98,2,5,Research Scientist,1,Single,3289,2838,0,Y,No,20,3,2,80,3,12,1,3,4,2,2,1
31,No,Travel_Frequently,Research & Development,7,3,Marketing,1,402,3,Male,45,1,5,Research Scientist,4,Married,8066,10461,7,Y,Yes,14,3,3,80,1,26,1,3,13,9,5,1
37,Yes,Travel_Rarely,Research & Development,6,2,Technical Degree,1,403,4,Female,98,3,3,Research Scientist,2,Single,4609,15922,0,Y,No,25,4,3,80,1,2,1,3,0,0,0,0
37,No,Travel_Frequently,Sales,5,1,Marketing,1,404,2,Male,83,3,4,Sales Executive,1,Married,10214,6827,2,Y,No,15,3,4,80,1,4,6,3,16,4,6,13
32,No,Travel_Rarely,Research & Development,6,4,Technical Degree,1,405,2,Male,42,1,3,Research Scientist,4,Married,5567,25371,5,Y,No,20,3,3,80,1,32,1,3,7,2,4,7
42,No,Travel_Rarely,Sales,5,4,Other,1,406,1,Male,60,3,5,Sales Executive,4,Divorced,7557,14903,7,Y,No,17,3,3,80,0,28,3,4,3,3,1,1
27,No,Travel_Rarely,Sales,6,3,Other,1,407,3,Female,98,3,3,Sales Executive,3,Married,4760,21887,4,Y,No,22,3,4,80,3,6,3,3,5,1,3,5
35,No,Travel_Rarely,Sales,10,2,Technical Degree,1,408,4,Male,50,2,1,Sales Executive,3,Divorced,9531,16400,4,Y,No,12,3,3,80,2,30,1,3,17,3,9,1
38,No,Non-Travel,Sales,1,4,Life Sciences,1,409,4,Male,59,2,4,Sales Executive,4,Divorced,9536,26208,3,Y,No,23,3,3,80,0,28,1,3,13,11,12,13
41,No,Travel_Rarely,Research & Development,11,5,Life Sciences,1,410,1,Female,52,3,3,Healthcare Representative,4,Divorced,6390,4075,3,Y,No,12,3,4,80,1,13,2,3,4,4,2,2
43,Yes,Travel_Rarely,Sales,1,3,Other,1,411,3,Male,67,1,5,Sales Executive,4,Divorced,7760,19696,6,Y,No,22,3,3,80,1,36,5,1,3,3,2,1
26,No,Travel_Frequently,Sales,1,3,Marketing,1,412,1,Male,58,3,3,Sales Executive,3,Married,3707,18279,5,Y,No,20,3,2,80,1,10,2,4,7,5,3,3
23,No,Travel_Frequently,Research & Development,29,4,Other,1,413,3,Male,61,4,3,Manufacturing Director,4,Divorced,5447,16190,7,Y,No,24,3,1,80,1,10,4,3,3,2,3,1
48,No,Travel_Rarely,Research & Development,25,4,Other,1,414,1,Female,91,4,2,Laboratory Technician,4,Married,9688,20668,5,Y,Yes,19,3,3,80,3,5,3,3,7,1,2,3
39,No,Non-Travel,Research & Development,1,4,Technical Degree,1,415,4,Male,74,4,3,Manufacturing Director,1,Married,5519,26959,9,Y,No,14,4,1,80,1,29,6,2,0,0,0,0
30,No,Travel_Rarely,Sales,4,1,Life Sciences,1,416,2,Female,78,2,1,Sales Executive,4,Single,5678,17084,6,Y,No,15,4,3,80,2,36,1,3,1,1,0,1
50,No,Travel_Rarely,Sales,1,3,Technical Degree,1,417,2,Female,62,1,5,Sales Executive,3,Single,8560,14533,9,Y,No,13,3,4,80,0,12,6,3,1,1,0,0
38,Yes,Travel_Rarely,Research & Development,5,3,Other,1,418,4,Male,33,3,2,Research Scientist,2,Single,5955,16723,9,Y,No,12,3,3,80,3,22,5,3,2,1,0,1
47,No,Travel_Rarely,Research & Development,14,4,Medical,1,419,3,Male,47,1,3,Manufacturing Director,3,Divorced,8795,17264,4,Y,No,24,3,2,80,1,39,6,3,8,0,5,8
37,Yes,Travel_Rarely,Research & Development,24,4,Marketing,1,420,1,Male,99,1,4,Manufacturing Director,1,Married,9177,18246,5,Y,Yes,20,3,4,80,2,2,3,3,19,18,2,15
55,No,Travel_Rarely,Research & Development,8,5,Other,1,421,3,Male,93,1,1,Research Scientist,3,Married,10057,16601,0,Y,No,18,4,2,80,0,14,6,3,8,0,1,7
52,Yes,Travel_Rarely,Human Resources,3,3,Technical Degree,1,422,1,Male,57,4,1,Human Resources,4,Divorced,6371,21192,2,Y,Yes,14,3,4,80,0,10,4,1,1,1,0,0
34,Yes,Travel_Frequently,Research & Development,7,4,Medical,1,423,4,Female,87,3,1,Laboratory Technician,2,Single,6343,10995,7,Y,No,24,3,3,80,3,3,2,3,3,0,1,0
45,Yes,Travel_Rarely,Research & Development,2,3,Medical,1,424,3,Female,85,2,2,Research Director,3,Single,7516,16563,2,Y,Yes,22,3,1,80,0,8,4,2,1,0,1,0
42,No,Non-Travel,Research & Development,19,3,Other,1,425,2,Female,49,1,3,Laboratory Technician,4,Married,8119,13934,0,Y,No,11,3,4,80,1,17,0,3,15,15,15,9
49,No,Travel_Frequently,Sales,16,2,Life Sciences,1,426,3,Male,63,1,1,Sales Executive,3,Married,9483,14675,2,Y,No,23,4,2,80,1,4,6,3,4,0,2,4
28,No,Travel_Rarely,Research & Development,6,4,Medical,1,427,1,Female,39,4,3,Healthcare Representative,2,Married,4608,8521,3,Y,Yes,16,3,4,80,2,21,2,3,5,2,2,2
43,No,Travel_Rarely,Sales,3,5,Marketing,1,428,4,Female,51,4,4,Sales Executive,3,Single,10074,8355,7,Y,No,16,3,1,80,2,30,3,4,4,3,3,0
46,No,Travel_Rarely,Research & Development,2,2,Technical Degree,1,429,4,Female,34,3,3,Laboratory Technician,3,Married,7129,22103,8,Y,No,12,3,2,80,0,19,2,1,1,0,0,1
21,Yes,Travel_Frequently,Research & Development,1,1,Technical Degree,1,430,4,Male,73,2,3,Manufacturing Director,3,Single,4295,6771,3,Y,No,12,3,2,80,3,15,4,3,0,0,0,0
26,No,Travel_Rarely,Research & Development,13,4,Technical Degree,1,431,2,Female,38,2,3,Healthcare Representative,4,Single,4748,4696,6,Y,No,18,3,1,80,1,20,1,2,8,5,1,0
18,Yes,Travel_Rarely,Research & Development,4,3,Other,1,432,2,Male,72,4,5,Laboratory Technician,3,Single,2408,14458,0,Y,Yes,21,3,4,80,0,30,5,1,1,1,1,0
34,No,Non-Travel,Research & Development,3,4,Technical Degree,1,433,1,Male,33,3,2,Laboratory Technician,4,Divorced,4335,15463,8,Y,Yes,17,3,3,80,3,10,4,3,0,0,0,0
43,No,Travel_Rarely,Sales,5,2,Technical Degree,1,434,3,Male,71,1,3,Sales Executive,3,Divorced,5255,7796,3,Y,No,24,4,4,80,0,23,4,2,2,1,0,1
50,Yes,Travel_Rarely,Sales,13,1,Marketing,1,435,3,Female,94,3,1,Sales Representative,2,Married,8281,2808,8,Y,No,12,3,2,80,3,24,6,3,9,1,9,8
37,No,Travel_Rarely,Human Resources,1,3,Life Sciences,1,436,3,Female,70,2,5,Human Resources,3,Single,5431,12343,2,Y,No,20,3,3,80,2,12,6,3,1,1,1,1
51,Yes,Travel_Frequently,Research & Development,15,1,Other,1,437,4,Male,93,4,3,Manufacturing Director,4,Married,8781,5293,4,Y,Yes,25,3,3,80,1,9,1,1,4,3,2,0
24,No,Travel_Frequently,Human Resources,18,2,Other,1,438,1,Male,84,1,5,Human Resources,3,Single,3602,11497,0,Y,Yes,11,3,3,80,2,15,5,1,5,5,2,1
21,No,Travel_Rarely,Research & Development,23,2,Technical Degree,1,439,1,Male,47,1,2,Research Scientist,1,Married,3300,5459,2,Y,No,21,4,3,80,1,29,3,3,3,1,1,0
36,Yes,Travel_Rarely,Research & Development,4,2,Marketing,1,440,1,Male,45,2,5,Healthcare Representative,1,Married,7704,20803,4,Y,Yes,18,3,3,80,3,18,5,3,13,12,0,3
40,No,Travel_Frequently,Research & Development,1,1,Medical,1,441,2,Male,75,1,1,Laboratory Technician,2,Divorced,10945,6224,5,Y,No,25,4,1,80,3,20,6,3,21,12,20,18
36,No,Travel_Frequently,Research & Development,3,4,Technical Degree,1,442,1,Male,65,3,3,Research Scientist,2,Divorced,5812,9571,7,Y,Yes,20,3,4,80,0,1,3,3,0,0,0,0
18,Yes,Travel_Frequently,Sales,3,2,Technical Degree,1,443,3,Female,95,2,1,Sales Executive,3,Divorced,2808,24747,0,Y,Yes,12,4,4,80,3,3,2,3,1,0,1,0
36,No,Travel_Rarely,Research & Development,1,3,Other,1,444,2,Male,73,2,4,Laboratory Technician,1,Divorced,5096,22951,2,Y,No,15,3,3,80,3,8,4,3,2,2,0,0
25,No,Non-Travel,Research & Development,7,4,Other,1,445,1,Male,34,1,5,Healthcare Representative,4,Single,5273,16171,0,Y,No,16,3,1,80,0,39,2,2,3,3,0,3
43,No,Travel_Rarely,Research & Development,5,3,Technical Degree,1,446,4,Male,58,2,5,Research Scientist,2,Married,8048,17323,4,Y,No,20,3,2,80,0,31,1,3,6,2,6,1
40,No,Travel_Rarely,Research & Development,16,3,Other,1,447,2,Female,33,4,5,Healthcare Representative,2,Married,6637,21908,7,Y,Yes,11,3,2,80,1,8,0,3,3,0,1,0
28,No,Travel_Rarely,Research & Development,1,4,Marketing,1,448,3,Female,78,3,2,Laboratory Technician,3,Single,3463,8751,3,Y,No,12,3,2,80,3,15,6,3,2,0,0,1
32,No,Travel_Rarely,Research & Development,8,4,Medical,1,449,2,Female,37,2,1,Research Scientist,2,Single,5456,11717,8,Y,No,24,3,2,80,0,22,3,3,0,0,0,0
27,No,Travel_Frequently,Sales,11,4,Medical,1,450,3,Male,81,4,4,Sales Representative,4,Married,4498,17411,5,Y,No,20,3,4,80,1,32,1,4,1,1,1,0
36,No,Travel_Rarely,Sales,11,3,Medical,1,451,4,Male,98,1,2,Sales Executive,1,Divorced,8150,8237,5,Y,No,25,4,3,80,1,5,3,2,10,10,7,3
45,Yes,Travel_Frequently,Research & Development,17,4,Technical Degree,1,452,1,Male,50,2,2,Research Scientist,3,Divorced,6788,11791,4,Y,No,14,3,3,80,2,9,2,4,2,1,2,0
28,No,Travel_Rarely,Research & Development,10,3,Technical Degree,1,453,3,Female,56,4,3,Laboratory Technician,4,Divorced,4566,11236,9,Y,No,12,4,2,80,0,15,0,3,4,4,2,2
41,No,Travel_Rarely,Research & Development,21,2,Technical Degree,1,454,4,Female,67,1,4,Healthcare Representative,3,Single,7922,12345,4,Y,No,21,3,4,80,2,37,6,3,1,1,0,0
32,No,Travel_Rarely,Sales,3,4,Marketing,1,455,3,Female,34,4,5,Sales Executive,2,Married,4402,16159,6,Y,No,16,3,2,80,1,33,5,2,1,1,1,0
29,Yes,Travel_Rarely,Research & Development,5,3,Medical,1,456,2,Female,90,1,5,Research Scientist,3,Single,3685,7319,7,Y,Yes,24,3,4,80,3,22,4,3,3,0,1,3
36,No,Travel_Frequently,Research & Development,1,4,Other,1,457,3,Female,37,3,3,Research Scientist,4,Married,5835,20251,6,Y,No,14,4,4,80,0,11,5,3,2,0,2,0
27,No,Travel_Rarely,Research & Development,1,1,Other,1,458,3,Male,47,2,5,Research Scientist,4,Divorced,5297,3375,0,Y,No,21,3,4,80,0,6,3,3,6,5,6,4
32,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,459,4,Female,33,3,1,Manufacturing Director,4,Divorced,5622,10130,0,Y,No,13,3,4,80,1,17,4,1,0,0,0,0
26,Yes,Travel_Rarely,Research & Development,1,4,Life Sciences,1,460,1,Male,33,3,5,Laboratory Technician,2,Divorced,4009,23785,9,Y,No,16,3,3,80,0,5,6,3,2,1,2,1
54,Yes,Travel_Frequently,Sales,2,2,Other,1,461,1,Male,66,2,1,Sales Executive,4,Married,8479,8992,5,Y,No,19,3,2,80,1,39,2,2,0,0,0,0
37,No,Travel_Rarely,Research & Development,1,4,Medical,1,462,2,Male,44,3,3,Research Scientist,1,Divorced,8012,15850,2,Y,No,18,4,2,80,0,9,3,4,5,5,0,5
